class,precision,recall,f1
Tomato_Bacterial_spot,0.9528688524590164,0.976890756302521,0.9647302904564315
Tomato_Early_blight,0.9322799097065463,0.9280898876404494,0.9301801801801802
Tomato_Late_blight,0.9411764705882353,0.8907922912205567,0.9152915291529153
Tomato_Leaf_Mold,0.9583333333333334,0.9776286353467561,0.9678848283499446
Tomato_Septoria_leaf_spot,0.9513274336283186,0.9188034188034188,0.9347826086956522
Tomato_Spider_mites_Two_spotted_spider_mite,0.9194214876033058,0.9528907922912205,0.935856992639327
Tomato__Target_Spot,0.9295154185022027,0.9154013015184381,0.9224043715846995
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9874476987447699,0.979253112033195,0.9833333333333333
Tomato__Tomato_mosaic_virus,0.9748283752860412,0.9976580796252927,0.9861111111111112
Tomato_healthy,0.9786324786324786,0.9913419913419913,0.9849462365591398
