Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
467,1,1,0,0,0,3,4,0,0
6,424,11,0,1,1,0,1,1,0
0,9,446,3,4,1,2,1,0,1
0,1,0,442,0,1,0,1,2,0
1,4,4,2,454,2,0,0,1,0
0,1,0,0,0,452,11,0,3,0
0,1,0,0,0,6,454,0,0,0
3,0,1,0,0,3,1,474,0,0
0,0,0,0,0,0,0,0,427,0
0,0,0,0,0,0,0,0,0,462
