Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
459,3,3,1,2,0,3,5,0,0
3,428,5,2,2,1,1,2,1,0
0,13,444,3,2,0,0,5,0,0
0,0,0,446,0,0,0,1,0,0
0,4,5,4,453,1,1,0,0,0
0,1,0,0,0,465,0,0,1,0
0,0,0,0,2,27,432,0,0,0
0,0,0,0,0,1,0,481,0,0
0,0,0,0,0,0,0,0,427,0
0,0,2,0,0,0,0,0,0,460
