Tomato_Bacterial_spot,Tomato_Early_blight,Tomato_Late_blight,Tomato_Leaf_Mold,Tomato_Septoria_leaf_spot,Tomato_Spider_mites_Two_spotted_spider_mite,Tomato__Target_Spot,Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato__Tomato_mosaic_virus,Tomato_healthy
471,0,2,0,1,0,2,0,0,0
7,424,7,0,1,1,2,2,1,0
0,16,440,3,5,1,0,0,0,2
0,0,1,444,0,1,0,1,0,0
2,8,2,3,451,0,1,0,1,0
0,1,0,1,0,455,6,0,4,0
2,0,0,0,4,13,442,0,0,0
2,0,1,0,0,4,1,474,0,0
0,0,0,0,0,0,0,0,427,0
0,0,1,0,0,0,0,1,0,460
