class,precision,recall,f1
Tomato_Bacterial_spot,0.9935064935064936,0.9642857142857143,0.9786780383795309
Tomato_Early_blight,0.9532293986636972,0.9617977528089887,0.9574944071588367
Tomato_Late_blight,0.9673202614379085,0.9507494646680942,0.958963282937365
Tomato_Leaf_Mold,0.9780701754385965,0.9977628635346756,0.9878183831672204
Tomato_Septoria_leaf_spot,0.982646420824295,0.967948717948718,0.9752421959095802
Tomato_Spider_mites_Two_spotted_spider_mite,0.9393939393939394,0.9957173447537473,0.9667359667359667
Tomato__Target_Spot,0.988558352402746,0.9370932754880694,0.9621380846325167
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9736842105263158,0.9979253112033195,0.985655737704918
Tomato__Tomato_mosaic_virus,0.9953379953379954,1.0,0.9976635514018691
Tomato_healthy,1.0,0.9956709956709957,0.9978308026030369
